folder_year,true_year,collection,dataset_type,kind,url
2011,2011,Mar-2011,validated,tarball,local:data/raw/2011/validated-march/
2012,2012,Apr-2012,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2012/data-validated--2012-apr.tar.gz
2013,2012,Sep-2012,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2012/data-validated-2012-sept.tar.gz
2014,2013,Sep-2013,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2014/data-validated-2013-sept.tar.gz
2015,2014,Sep-2014,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2015/data-validated-2014-sept.tar.gz
2016,2015,Sep-2015,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2016/validated-data-sept2015.tar.gz
2017,2016,Sep-2016,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2017/validated-data-sept2016.tar.gz
2018,2017,Sep-2017,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2018/validated-data-sept2017.tar.gz
2019,2018,Sep-2018,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2019/validated-data-sept2018.tar.gz
2020,2019,Sep-2019,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2020/validated-data-sept2019.tar.gz
2021,2020,Sep-2020,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2021/validated-data-sept2020.tar.gz
2022,2021,Sep-2021,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2022/validated-data-sept2021.tar.gz
2023,2022,Sep-Oct-2022,validated,tarball,https://data.fcc.gov/download/measuring-broadband-america/2023/validated-data-sept2022.tar.gz
2011,2011,Mar-2011,validated,unit_profile,local:data/raw/2011/validated-march/unit_metadata.csv
2012,2012,Apr-2012,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2012/FCC_UnitProfile_Sept12.xls
2013,2012,Sep-2012,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2012/FCC_UnitProfile_Sept12.xls
2014,2013,Sep-2013,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2013/FCC_Unit_Profile_20140207.xlsx
2015,2014,Sep-2014,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2015/FCC_UnitProfile_Sept14.xls
2016,2015,Sep-2015,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2016/Unit-Profile-sept2015.xlsx
2017,2016,Sep-2016,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2017/Unit-Profile-sept2016.xlsx
2018,2017,Sep-2017,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2018/Unit-Profile-sept2017.xlsx
2019,2018,Sep-2018,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2019/Unit-Profile-sept2018.xlsx
2020,2019,Sep-2019,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2020/Unit-Profile-sept2019.xlsx
2021,2020,Sep-2020,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2021/unit-profile-sept2020.xlsx
2022,2021,Sep-2021,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2022/unit-profile-sept2021.xlsx
2023,2022,Sep-Oct-2022,validated,unit_profile,https://data.fcc.gov/download/measuring-broadband-america/2023/unit-profile-sept2022.xlsx
2011,2011,Mar-2011,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/raw-bulk-mar-2011.tar.gz
2011,2011,Apr-2011,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/raw-bulk-data-apr-2011.tar.gz
2011,2011,May-2011,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/raw-bulk-data-may-2011.tar.gz
2011,2011,Jun-2011,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/raw-bulk-data-jun-2011.tar.gz
2012,2012,Apr-2012,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2012/data-raw-2012-apr.tar.gz
2012,2012,Sep-2012,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2012/data-raw-2012-sept.tar.gz
2013,2013,Sep-2013,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2014/data-raw-2013-sept.tar.gz
2014,2014,Sep-2014,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2015/data-raw-2014-sept.tar.gz
2015,2015,Sep-2015,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2016/data-raw-2015-sept.tar.gz
2016,2016,Sep-2016,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-sept.tar.gz
2017,2017,Sep-2017,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-sept.tar.gz
2018,2018,Sep-2018,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-sept.tar.gz
2019,2019,Sep-2019,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-sept.tar.gz
2020,2020,Sep-2020,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-sep.tar.gz
2021,2021,Sep-2021,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-sep.tar.gz
2023,2023,Mar-2023,raw,tarball,https://data.fcc.gov/download/measuring-broadband-america/2023/data-raw-2023-mar.tar.gz
