data_year,data_month,dataset,n_units,rc,tis,technology
2011,2,raw,1697,461,24,cable
2011,2,raw,1112,80,30,dsl
2011,2,raw,289,1,1,fiber
2011,2,raw,3204,561,58,overall
2011,3,raw,2977,716,60,cable
2011,3,raw,2106,148,69,dsl
2011,3,raw,487,11,0,fiber
2011,3,raw,5686,907,130,overall
2011,3,validated,3541,919,70,cable
2011,3,validated,2193,183,113,dsl
2011,3,validated,474,28,0,fiber
2011,3,validated,6259,1144,184,overall
2011,4,raw,2986,723,47,cable
2011,4,raw,2097,137,66,dsl
2011,4,raw,484,22,1,fiber
2011,4,raw,5723,911,114,overall
2011,5,raw,3010,674,39,cable
2011,5,raw,2060,344,45,dsl
2011,5,raw,479,21,0,fiber
2011,5,raw,5807,1084,89,overall
2011,6,raw,2979,762,23,cable
2011,6,raw,1991,359,44,dsl
2011,6,raw,461,27,0,fiber
2011,6,raw,5718,1200,71,overall
2012,1,raw,2899,597,26,cable
2012,1,raw,1571,86,40,dsl
2012,1,raw,414,3,1,fiber
2012,1,raw,5265,738,72,overall
2012,2,raw,2954,537,10,cable
2012,2,raw,1608,78,42,dsl
2012,2,raw,417,5,1,fiber
2012,2,raw,5282,664,55,overall
2012,3,raw,3366,549,11,cable
2012,3,raw,2042,113,50,dsl
2012,3,raw,693,18,2,fiber
2012,3,raw,6321,716,65,overall
2012,4,raw,3527,458,12,cable
2012,4,raw,2193,113,38,dsl
2012,4,raw,796,6,2,fiber
2012,4,raw,6639,596,52,overall
2012,4,validated,3942,485,36,cable
2012,4,validated,2290,185,128,dsl
2012,4,validated,792,3,4,fiber
2012,4,validated,7030,673,168,overall
2012,5,raw,3539,467,12,cable
2012,5,raw,2187,105,45,dsl
2012,5,raw,781,4,1,fiber
2012,5,raw,6718,614,60,overall
2012,6,raw,3409,502,19,cable
2012,6,raw,2119,119,25,dsl
2012,6,raw,719,9,1,fiber
2012,6,raw,6522,689,47,overall
2012,7,raw,3257,554,6,cable
2012,7,raw,2022,114,25,dsl
2012,7,raw,704,5,0,fiber
2012,7,raw,6281,740,31,overall
2012,8,raw,3177,568,11,cable
2012,8,raw,1961,120,32,dsl
2012,8,raw,686,3,2,fiber
2012,8,raw,6134,747,45,overall
2012,9,raw,3423,490,7,cable
2012,9,raw,1911,101,39,dsl
2012,9,raw,681,7,1,fiber
2012,9,raw,6228,621,49,overall
2012,9,validated,3781,469,16,cable
2012,9,validated,2038,134,98,dsl
2012,9,validated,702,5,4,fiber
2012,9,validated,6606,613,123,overall
2012,10,raw,3141,408,4,cable
2012,10,raw,1889,97,37,dsl
2012,10,raw,661,5,0,fiber
2012,10,raw,6163,579,46,overall
2012,11,raw,3022,403,5,cable
2012,11,raw,1835,100,38,dsl
2012,11,raw,650,6,0,fiber
2012,11,raw,5997,585,50,overall
2012,12,raw,3087,775,3,cable
2012,12,raw,1785,121,35,dsl
2012,12,raw,637,6,0,fiber
2012,12,raw,6008,1000,39,overall
2013,1,raw,1764,350,1,cable
2013,1,raw,805,57,27,dsl
2013,1,raw,363,9,1,fiber
2013,1,raw,3800,559,36,overall
2013,2,raw,1838,317,1,cable
2013,2,raw,818,55,19,dsl
2013,2,raw,356,5,0,fiber
2013,2,raw,3782,488,29,overall
2013,3,raw,1773,291,3,cable
2013,3,raw,801,54,19,dsl
2013,3,raw,325,6,0,fiber
2013,3,raw,3572,470,32,overall
2013,4,raw,1805,356,2,cable
2013,4,raw,797,46,9,dsl
2013,4,raw,330,6,0,fiber
2013,4,raw,3516,514,12,overall
2013,5,raw,1807,270,0,cable
2013,5,raw,796,41,5,dsl
2013,5,raw,321,9,0,fiber
2013,5,raw,3430,400,12,overall
2013,6,raw,1838,272,0,cable
2013,6,raw,782,43,3,dsl
2013,6,raw,311,12,0,fiber
2013,6,raw,3350,389,4,overall
2013,7,raw,1850,275,2,cable
2013,7,raw,804,45,6,dsl
2013,7,raw,322,9,0,fiber
2013,7,raw,3321,370,9,overall
2013,8,raw,1831,214,1,cable
2013,8,raw,802,49,8,dsl
2013,8,raw,358,4,0,fiber
2013,8,raw,3256,294,10,overall
2013,9,raw,2146,187,2,cable
2013,9,raw,970,45,15,dsl
2013,9,raw,425,10,1,fiber
2013,9,raw,3742,267,18,overall
2013,9,validated,3214,278,6,cable
2013,9,validated,1627,93,52,dsl
2013,9,validated,630,7,3,fiber
2013,9,validated,5539,385,61,overall
2013,10,raw,2184,251,3,cable
2013,10,raw,1019,43,13,dsl
2013,10,raw,473,10,1,fiber
2013,10,raw,3886,327,17,overall
2013,11,raw,2138,222,3,cable
2013,11,raw,988,43,15,dsl
2013,11,raw,463,11,2,fiber
2013,11,raw,3873,308,23,overall
2013,12,raw,2053,238,3,cable
2013,12,raw,975,60,29,dsl
2013,12,raw,446,8,1,fiber
2013,12,raw,3791,353,37,overall
2014,1,raw,1563,189,7,cable
2014,1,raw,746,51,20,dsl
2014,1,raw,382,3,1,fiber
2014,1,raw,3743,368,39,overall
2014,2,raw,1579,163,6,cable
2014,2,raw,765,46,16,dsl
2014,2,raw,385,6,0,fiber
2014,2,raw,3713,336,30,overall
2014,3,raw,2404,235,6,cable
2014,3,raw,1171,70,13,dsl
2014,3,raw,517,10,2,fiber
2014,3,raw,5398,481,33,overall
2014,4,raw,2387,218,2,cable
2014,4,raw,1159,54,15,dsl
2014,4,raw,522,9,2,fiber
2014,4,raw,5237,424,26,overall
2014,5,raw,2375,185,0,cable
2014,5,raw,1149,57,16,dsl
2014,5,raw,518,7,1,fiber
2014,5,raw,5127,370,23,overall
2014,6,raw,2359,210,0,cable
2014,6,raw,1150,82,15,dsl
2014,6,raw,519,5,1,fiber
2014,6,raw,4964,428,22,overall
2014,7,raw,2297,214,3,cable
2014,7,raw,1182,101,31,dsl
2014,7,raw,519,6,0,fiber
