data_year,data_month,kind,fcc_dir,filename,url,size,sha256,s3_key,staged
2011,,profile,,unit-profile-2011.zip,https://data.fcc.gov/download/measuring-broadband-america/unit-profile-2011.zip,113714,d0539193b6979865e830bc80c23dadd374b9bba0d3114744c32ba85356e262c3,fcc-mba/2011/profile/unit-profile-2011.zip,1
2011,,profile,,unit-profile-march-2011.zip,https://data.fcc.gov/download/measuring-broadband-america/unit-profile-march-2011.zip,113714,d0539193b6979865e830bc80c23dadd374b9bba0d3114744c32ba85356e262c3,fcc-mba/2011/profile/unit-profile-march-2011.zip,1
2012,,profile,2012,unit-profile-april-2012.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2012/unit-profile-april-2012.xlsx,767471,70af9fee0b87370662576e44d8ea52ca68929747e5ff1a43618f14cdef6a0321,fcc-mba/2012/profile/unit-profile-april-2012.xlsx,1
2012,9,profile,2012,FCC_UnitProfile_Sept12.xls,https://data.fcc.gov/download/measuring-broadband-america/2012/FCC_UnitProfile_Sept12.xls,1054720,745f4c3788e6ca78c4ad57636231c81d88bdae199ac2b01de22164673f75286a,fcc-mba/2012/profile/FCC_UnitProfile_Sept12.xls,1
2013,,profile,2013,FCC_Unit_Profile_20140207.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2013/FCC_Unit_Profile_20140207.xlsx,322823,f4ee3c7f9645b0d757a2d059fdf95156db81f21489890b6f3ea86cebb48d195c,fcc-mba/2013/profile/FCC_Unit_Profile_20140207.xlsx,1
2014,9,profile,2015,FCC_UnitProfile_Sept14.xls,https://data.fcc.gov/download/measuring-broadband-america/2015/FCC_UnitProfile_Sept14.xls,301202,46ab40fe0d4f9fe06ec314cd21a102a909ca943331dfe0d9a6824a4c190e0584,fcc-mba/2014/profile/FCC_UnitProfile_Sept14.xls,1
2015,9,profile,2016,Unit-Profile-sept2015.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2016/Unit-Profile-sept2015.xlsx,274880,365dc85f1c8e445c2856b133f813411d7ebf0b51f8b9619dddb37bf1625f8712,fcc-mba/2015/profile/Unit-Profile-sept2015.xlsx,1
2016,9,profile,2017,Unit-Profile-sept2016.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2017/Unit-Profile-sept2016.xlsx,211970,6c892df358d2a4c343477d49fbf21857b9e970400107e79951478f7c30bd9712,fcc-mba/2016/profile/Unit-Profile-sept2016.xlsx,1
2017,9,profile,2018,Unit-Profile-sept2017.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2018/Unit-Profile-sept2017.xlsx,288088,381bb2effd3a4ada3bd18d2898db41bac6348aab9e34e0ec8ed82629645b4dcd,fcc-mba/2017/profile/Unit-Profile-sept2017.xlsx,1
2018,9,profile,2019,Unit-Profile-sept2018.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2019/Unit-Profile-sept2018.xlsx,181621,27e65f2f860f5e5d6c16694c37ceeb07a7e7cff3bc4e71b6961a5f6d29eaa007,fcc-mba/2018/profile/Unit-Profile-sept2018.xlsx,1
2018,9,profile,2019,unit-profile-sept2018.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2019/unit-profile-sept2018.xlsx,161731,c20aca96973d0a2de511755034834ae3eaf174b3afd09e3b4d04ccd557ff0107,fcc-mba/2018/profile/unit-profile-sept2018.xlsx,1
2019,9,profile,2020,Unit-Profile-sept2019.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2020/Unit-Profile-sept2019.xlsx,146060,1aa37dc57ce25da0dbce12adaf6c7418ff617c74f0354727f2740e2345ca1e6d,fcc-mba/2019/profile/Unit-Profile-sept2019.xlsx,1
2020,9,profile,2021,unit-profile-sept2020.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2021/unit-profile-sept2020.xlsx,154496,23ce2b6e4c23071c5315bcaed0b3343f6bcf29d284aa2c8675dd97f621fab321,fcc-mba/2020/profile/unit-profile-sept2020.xlsx,1
2021,9,profile,2022,unit-profile-sept2021.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2022/unit-profile-sept2021.xlsx,148154,e627061a1e8052470958b9f9cd9366778f809acee1ebf81e086b058d2bb4fb41,fcc-mba/2021/profile/unit-profile-sept2021.xlsx,1
2022,9,profile,2023,unit-profile-sept2022.xlsx,https://data.fcc.gov/download/measuring-broadband-america/2023/unit-profile-sept2022.xlsx,89157,901684ffeeb0fc6d2ca360c6f3566d1279eac7bd48bc1d0e18aaee10ed8e910f,fcc-mba/2022/profile/unit-profile-sept2022.xlsx,1
2011,3,validated,,validated-march-data-2011.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/validated-march-data-2011.tar.gz,2530623616,9780a6d4189b437bbcbbda3f337b498708f54303c06dc4f2683b5ff65396e3f9,fcc-mba/2011/validated/validated-march-data-2011.tar.gz,1
2012,4,validated,2012,data-validated--2012-apr.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2012/data-validated--2012-apr.tar.gz,4152236390,5fed2c02cf0fcbdb67adfab7ffb2ecf5338a1990cf3ca856d0a0aebe59266321,fcc-mba/2012/validated/data-validated--2012-apr.tar.gz,1
2012,9,validated,2012,data-validated-2012-sept.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2012/data-validated-2012-sept.tar.gz,4148311454,94a642e15223c982d0c87523106c3f5e0f04b400ae906c79abb08ba7248bae87,fcc-mba/2012/validated/data-validated-2012-sept.tar.gz,1
2013,9,validated,2014,data-validated-2013-sept.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2014/data-validated-2013-sept.tar.gz,4095507896,6dfcb9268432545e85ed16762f7fb4aa1d0b33a3e1aa6fa2c8afe383f2624aa1,fcc-mba/2013/validated/data-validated-2013-sept.tar.gz,1
2014,9,validated,2015,data-validated-2014-sept.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2015/data-validated-2014-sept.tar.gz,3605954920,781cc3dc1f4d088a68eb1962867fa1df1cb53a3786ebd6a1a85ab92d51d1f70e,fcc-mba/2014/validated/data-validated-2014-sept.tar.gz,1
2015,9,validated,2016,validated-data-sept2015.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2016/validated-data-sept2015.tar.gz,4253194573,e3b5dd94762511e1d6a101e090113b518a18c33997aab2dd33c4e04157a0cfbd,fcc-mba/2015/validated/validated-data-sept2015.tar.gz,1
2016,9,validated,2017,validated-data-sept2016.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/validated-data-sept2016.tar.gz,1946185466,cd19e57fd39de572b02a666ae2945eb5cf211ba611491eaf22d4a325c2b6c268,fcc-mba/2016/validated/validated-data-sept2016.tar.gz,1
2017,9,validated,2018,validated-data-sept2017.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/validated-data-sept2017.tar.gz,1988852072,e52917dc91bb45059ed4eb7151f0d96b46fa7767f1db5cd479a80703c527bd76,fcc-mba/2017/validated/validated-data-sept2017.tar.gz,1
2018,9,validated,2019,validated-data-sept2018.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/validated-data-sept2018.tar.gz,1493020959,2fd799ac05ec38a36aa1e230ded6e3a1fdec68badad545f91d4accf1ff61bb59,fcc-mba/2018/validated/validated-data-sept2018.tar.gz,1
2019,9,validated,2020,validated-data-sept2019.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/validated-data-sept2019.tar.gz,2544270784,fc9ca6c2fcacad97559b19fdc182f6da08aee1c81d48b477d7795df378d7ae4b,fcc-mba/2019/validated/validated-data-sept2019.tar.gz,1
2020,9,validated,2021,validated-data-sept2020.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/validated-data-sept2020.tar.gz,2487418604,29ccc573deb548eb33949a5f7b9d52971b5ac360005f0943cdd422d25044f6be,fcc-mba/2020/validated/validated-data-sept2020.tar.gz,1
2021,9,validated,2022,validated-data-sept2021.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2022/validated-data-sept2021.tar.gz,2454511048,9d81557244bdf5e532bcdde8b3890b4019b5ebadc6c9c23c54e1067ef77c7e1b,fcc-mba/2021/validated/validated-data-sept2021.tar.gz,1
2022,9,validated,2023,validated-data-sept2022.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2023/validated-data-sept2022.tar.gz,1503636947,0e202fa2d3c5a6e0690221d1b81439f8ac32e792750e7cf68e5f19b2338f8307,fcc-mba/2022/validated/validated-data-sept2022.tar.gz,1
2011,2,raw,,raw-bulk-data-feb-2011.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/raw-bulk-data-feb-2011.tar.gz,2009433378,9379ca7d10389e679fae75b5320d4732eced7ce801aa535b4721e4ba4e3a762b,fcc-mba/2011/raw/raw-bulk-data-feb-2011.tar.gz,1
