data_year,data_month,dataset,technology,n_units,rc,tis
2011,2,raw,cable,1697,461,24
2011,2,raw,dsl,1112,80,30
2011,2,raw,fiber,289,1,1
2011,2,raw,overall,3204,561,58
2011,3,raw,cable,2977,716,60
2011,3,raw,dsl,2106,148,69
2011,3,raw,fiber,487,11,0
2011,3,raw,overall,5686,907,130
2011,3,validated,cable,3541,919,70
2011,3,validated,dsl,2193,183,113
2011,3,validated,fiber,474,28,0
2011,3,validated,overall,6259,1144,184
2011,4,raw,cable,2986,723,47
2011,4,raw,dsl,2097,137,66
2011,4,raw,fiber,484,22,1
2011,4,raw,overall,5723,911,114
2011,5,raw,cable,3010,674,39
2011,5,raw,dsl,2060,344,45
2011,5,raw,fiber,479,21,0
2011,5,raw,overall,5807,1084,89
2011,6,raw,cable,2979,762,23
2011,6,raw,dsl,1991,359,44
2011,6,raw,fiber,461,27,0
2011,6,raw,overall,5718,1200,71
2012,1,raw,cable,2899,597,26
2012,1,raw,dsl,1571,86,40
2012,1,raw,fiber,414,3,1
2012,1,raw,overall,5265,738,72
2012,2,raw,cable,2954,537,10
2012,2,raw,dsl,1608,78,42
2012,2,raw,fiber,417,5,1
2012,2,raw,overall,5282,664,55
2012,3,raw,cable,3366,549,11
2012,3,raw,dsl,2042,113,50
2012,3,raw,fiber,693,18,2
2012,3,raw,overall,6321,716,65
2012,4,raw,cable,3527,458,12
2012,4,raw,dsl,2193,113,38
2012,4,raw,fiber,796,6,2
2012,4,raw,overall,6639,596,52
2012,4,validated,cable,3942,485,36
2012,4,validated,dsl,2290,185,128
2012,4,validated,fiber,792,3,4
2012,4,validated,overall,7030,673,168
2012,5,raw,cable,3539,467,12
2012,5,raw,dsl,2187,105,45
2012,5,raw,fiber,781,4,1
2012,5,raw,overall,6718,614,60
2012,6,raw,cable,3409,502,19
2012,6,raw,dsl,2119,119,25
2012,6,raw,fiber,719,9,1
2012,6,raw,overall,6522,689,47
2012,7,raw,cable,3257,554,6
2012,7,raw,dsl,2022,114,25
2012,7,raw,fiber,704,5,0
2012,7,raw,overall,6281,740,31
2012,8,raw,cable,3177,568,11
2012,8,raw,dsl,1961,120,32
2012,8,raw,fiber,686,3,2
2012,8,raw,overall,6134,747,45
2012,9,raw,cable,3423,490,7
2012,9,raw,dsl,1911,101,39
2012,9,raw,fiber,681,7,1
2012,9,raw,overall,6228,621,49
2012,9,validated,cable,3781,469,16
2012,9,validated,dsl,2038,134,98
2012,9,validated,fiber,702,5,4
2012,9,validated,overall,6606,613,123
2012,10,raw,cable,3141,408,4
2012,10,raw,dsl,1889,97,37
2012,10,raw,fiber,661,5,0
2012,10,raw,overall,6163,579,46
2012,11,raw,cable,3022,403,5
2012,11,raw,dsl,1835,100,38
2012,11,raw,fiber,650,6,0
2012,11,raw,overall,5997,585,50
2012,12,raw,cable,3087,775,3
2012,12,raw,dsl,1785,121,35
2012,12,raw,fiber,637,6,0
2012,12,raw,overall,6008,1000,39
2013,1,raw,cable,1764,350,1
2013,1,raw,dsl,805,57,27
2013,1,raw,fiber,363,9,1
2013,1,raw,overall,3800,559,36
2013,2,raw,cable,1838,317,1
2013,2,raw,dsl,818,55,19
2013,2,raw,fiber,356,5,0
2013,2,raw,overall,3782,488,29
2013,3,raw,cable,1773,291,3
2013,3,raw,dsl,801,54,19
2013,3,raw,fiber,325,6,0
2013,3,raw,overall,3572,470,32
2013,4,raw,cable,1805,356,2
2013,4,raw,dsl,797,46,9
2013,4,raw,fiber,330,6,0
2013,4,raw,overall,3516,514,12
2013,5,raw,cable,1807,270,0
2013,5,raw,dsl,796,41,5
2013,5,raw,fiber,321,9,0
2013,5,raw,overall,3430,400,12
2013,6,raw,cable,1838,272,0
2013,6,raw,dsl,782,43,3
2013,6,raw,fiber,311,12,0
2013,6,raw,overall,3350,389,4
2013,7,raw,cable,1850,275,2
2013,7,raw,dsl,804,45,6
2013,7,raw,fiber,322,9,0
2013,7,raw,overall,3321,370,9
2013,8,raw,cable,1831,214,1
2013,8,raw,dsl,802,49,8
2013,8,raw,fiber,358,4,0
2013,8,raw,overall,3256,294,10
2013,9,raw,cable,2146,187,2
2013,9,raw,dsl,970,45,15
2013,9,raw,fiber,425,10,1
2013,9,raw,overall,3742,267,18
2013,9,validated,cable,3214,278,6
2013,9,validated,dsl,1627,93,52
2013,9,validated,fiber,630,7,3
2013,9,validated,overall,5539,385,61
2013,10,raw,cable,2184,251,3
2013,10,raw,dsl,1019,43,13
2013,10,raw,fiber,473,10,1
2013,10,raw,overall,3886,327,17
2013,11,raw,cable,2138,222,3
2013,11,raw,dsl,988,43,15
2013,11,raw,fiber,463,11,2
2013,11,raw,overall,3873,308,23
2013,12,raw,cable,2053,238,3
2013,12,raw,dsl,975,60,29
2013,12,raw,fiber,446,8,1
2013,12,raw,overall,3791,353,37
2014,1,raw,cable,1563,189,7
2014,1,raw,dsl,746,51,20
2014,1,raw,fiber,382,3,1
2014,1,raw,overall,3743,368,39
2014,2,raw,cable,1579,163,6
2014,2,raw,dsl,765,46,16
2014,2,raw,fiber,385,6,0
2014,2,raw,overall,3713,336,30
2014,3,raw,cable,2404,235,6
2014,3,raw,dsl,1171,70,13
2014,3,raw,fiber,517,10,2
2014,3,raw,overall,5398,481,33
2014,4,raw,cable,2387,218,2
2014,4,raw,dsl,1159,54,15
2014,4,raw,fiber,522,9,2
2014,4,raw,overall,5237,424,26
2014,5,raw,cable,2375,185,0
2014,5,raw,dsl,1149,57,16
2014,5,raw,fiber,518,7,1
2014,5,raw,overall,5127,370,23
2014,6,raw,cable,2359,210,0
2014,6,raw,dsl,1150,82,15
2014,6,raw,fiber,519,5,1
