worker_id,hostname,ip,ssh_user,cores,cpu,mem_kb,os_kernel,disk
opencode-worker-1,opencode-worker-1,192.168.1.17,cc,4,vCPU,8130780,6.8.0-124-generic,37G
opencode-worker-2,opencode-worker-2,192.168.1.6,cc,4,vCPU,8131788,6.8.0-124-generic,37G
opencode-worker-3,opencode-worker-3,192.168.1.12,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-4,opencode-worker-4,192.168.1.8,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-5,opencode-worker-5,192.168.1.7,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-6,opencode-worker-6,192.168.1.20,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-7,opencode-worker-7,192.168.1.11,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-8,opencode-worker-8,192.168.1.21,cc,4,vCPU,8131788,6.8.0-124-generic,37G
opencode-worker-9,opencode-worker-9,192.168.1.28,cc,4,vCPU,8131792,6.8.0-124-generic,37G
opencode-worker-10,opencode-worker-10,192.168.1.22,cc,4,vCPU,8131784,6.8.0-124-generic,37G
opencode-worker-11,opencode-worker-11,192.168.1.30,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-12,opencode-worker-12,192.168.1.26,cc,4,vCPU,8131788,6.8.0-124-generic,37G
opencode-worker-13,opencode-worker-13,192.168.1.16,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-14,opencode-worker-14,192.168.1.5,cc,4,vCPU,8131792,6.8.0-124-generic,37G
opencode-worker-15,opencode-worker-15,192.168.1.4,cc,4,vCPU,8131784,6.8.0-124-generic,37G
opencode-worker-16,opencode-worker-16,192.168.1.23,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-17,opencode-worker-17,192.168.1.18,cc,4,vCPU,8131792,6.8.0-124-generic,37G
opencode-worker-18,opencode-worker-18,192.168.1.27,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-19,opencode-worker-19,192.168.1.19,cc,4,vCPU,8131792,6.8.0-124-generic,37G
opencode-worker-20,opencode-worker-20,192.168.1.3,cc,4,vCPU,8131784,6.8.0-124-generic,37G
opencode-worker-21,opencode-worker-21,192.168.1.29,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-22,opencode-worker-22,192.168.1.13,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-23,opencode-worker-23,192.168.1.10,cc,4,vCPU,8131796,6.8.0-124-generic,37G
opencode-worker-24,opencode-worker-24,192.168.1.24,cc,4,vCPU,8131796,6.8.0-124-generic,37G
